Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S133706320,Canada Goose,Branta canadensis,324,14,US-PA,Allegheny,L907532,Wingfield Pines,40.339369,-80.1108214,2023-04-14,09:45 AM,eBird - Traveling Count,83,1,2.981,,1
S134007471,Canada Goose,Branta canadensis,324,6,US-PA,Allegheny,L907532,Wingfield Pines,40.339369,-80.1108214,2023-04-16,09:54 AM,eBird - Traveling Count,67,1,2.707,,2
S110876607,Canada Goose,Branta canadensis,324,11,US-NJ,Atlantic,L92448,Edwin B. Forsythe NWR--Wildlife Drive (8-mile auto tour loop only),39.464298,-74.417612,2022-05-21,08:05 AM,eBird - Traveling Count,162,1,12.856,,1
S88207945,Canada Goose,Branta canadensis,324,6,US-MD,Baltimore,L2500237,Loch Raven Reservoir--Peerce's Cove,39.4638334,-76.5480405,2021-05-15,01:38 PM,eBird - Traveling Count,74,1,.986,,1
S88344191,Canada Goose,Branta canadensis,324,2,US-MD,Baltimore,L2500237,Loch Raven Reservoir--Peerce's Cove,39.4638334,-76.5480405,2021-05-16,09:41 AM,eBird - Traveling Count,32,1,.934,,2
S157958147,Canada Goose,Branta canadensis,324,20,US-NM,Bernalillo,L845398,Rio Grande Valley SP--Tingley Beach bosque ponds,35.0807861,-106.6717958,2024-01-03,09:54 AM,eBird - Traveling Count,65,1,2.277,,1
S74902707,Canada Goose,Branta canadensis,324,30,US-NY,Chautauqua,L2057257,Cassadaga Lakes,42.3470888,-79.3259073,2020-10-16,11:48 AM,eBird - Traveling Count,2,1,1.14,,2
S73063956,Canada Goose,Branta canadensis,324,8,US-NY,Chautauqua,L12200911,Silver Creek Reservoir,42.4687297,-79.093506,2020-09-01,09:58 AM,eBird - Stationary Count,5,1,,,1,,,Brief stop to scan the reservoir on my way to Jamestown
S96438645,Canada Goose,Branta canadensis,324,100,US-VT,Chittenden,L165376,Delta Park IBA,44.5333652,-73.2777677,2021-10-18,01:54 PM,eBird - Traveling Count,19,0,1.689,,1
S87725005,Canada Goose,Branta canadensis,324,1,US-NC,Dare,L1743452,Duck Park Boardwalk,36.1653951,-75.7558532,2021-05-10,08:47 AM,eBird - Traveling Count,47,1,2.038,,2
S87845629,Canada Goose,Branta canadensis,324,4,US-NC,Dare,L1555375,Pea Island NWR--Salt Flats Wildlife Trail,35.7355509,-75.5053226,2021-05-11,11:41 AM,eBird - Traveling Count,50,1,1.466,,2
S99701606,Canada Goose,Branta canadensis,324,15,US-NC,Dare,L1555375,Pea Island NWR--Salt Flats Wildlife Trail,35.7355509,-75.5053226,2021-12-30,10:03 AM,eBird - Traveling Count,65,0,.827,,1
S87994562,Canada Goose,Branta canadensis,324,2,US-NC,Dare,L1474455,Sandy Run Park,36.0725753,-75.7189354,2021-05-13,07:28 AM,eBird - Traveling Count,35,1,1.004,,2
